Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 43.63      2.43     2.43      100    24.30    54.88  ripple_omp(Surface*, int&)
 12.57      3.13     0.70  8606493     0.00     0.00  glm::detail::compute_cross<float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  9.87      3.68     0.55  9277987     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator-<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  7.18      4.08     0.40 67281668     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  7.09      4.48     0.40  6336606     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator+<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  6.46      4.84     0.36 41015456     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  3.41      5.03     0.19  8379948     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::cross<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  3.23      5.21     0.18  2338992     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  2.33      5.34     0.13  2367126     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, float)
  1.44      5.42     0.08  2185603     0.00     0.00  glm::detail::compute_normalize<3, float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&)
  0.90      5.47     0.05  2334716     0.00     0.00  glm::detail::compute_dot<glm::vec<3, float, (glm::qualifier)0>, float, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.72      5.51     0.04      204     0.20     0.20  std::vector<float, std::allocator<float> >::data() const
  0.36      5.53     0.02        2    10.00    10.00  CycleTimer::secondsPerTick()
  0.18      5.54     0.01  2355411     0.00     0.00  float glm::dot<3, float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&)
  0.18      5.55     0.01  2184050     0.00     0.00  std::sqrt(float)
  0.18      5.56     0.01  2124042     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::normalize<3, float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&)
  0.18      5.57     0.01       21     0.48     0.48  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.09      5.57     0.01                             glm::vec<3, float, (glm::qualifier)0>::vec(float, float, float)
  0.00      5.57     0.00  3469922     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00      5.57     0.00  3013830     0.00     0.00  Surface::set_vertex(int, float, int)
  0.00      5.57     0.00  2690118     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.57     0.00  2128071     0.00     0.00  float glm::inversesqrt<float>(float)
  0.00      5.57     0.00  1910433     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      5.57     0.00  1734912     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00      5.57     0.00  1734912     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.00      5.57     0.00  1734912     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      5.57     0.00   955206     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      5.57     0.00   955206     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      5.57     0.00   955206     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      5.57     0.00   318402     0.00     0.00  Object::push_index(int, int, int)
  0.00      5.57     0.00   209152     0.00     0.00  Object::push_normal(glm::vec<3, float, (glm::qualifier)0>&)
  0.00      5.57     0.00   160000     0.00     0.00  Surface::push_vertex(glm::vec<3, float, (glm::qualifier)0>&)
  0.00      5.57     0.00    49152     0.00     0.00  Sphere::push_vertex(glm::vec<3, float, (glm::qualifier)0>&)
  0.00      5.57     0.00    16380     0.00     0.00  glm::vec<3, float, (glm::qualifier)0> glm::mix<3, float, float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&, float)
  0.00      5.57     0.00    16380     0.00     0.00  glm::detail::compute_mix_scalar<3, float, float, (glm::qualifier)0, false>::call(glm::vec<3, float, (glm::qualifier)0> const&, glm::vec<3, float, (glm::qualifier)0> const&, float const&)
  0.00      5.57     0.00     3872     0.00     0.00  float* glm::value_ptr<float, (glm::qualifier)0>(glm::vec<3, float, (glm::qualifier)0>&)
  0.00      5.57     0.00     2209     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::length()
  0.00      5.57     0.00     1693     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int)
  0.00      5.57     0.00     1452     0.00     0.00  float* glm::value_ptr<float, (glm::qualifier)0>(glm::mat<4, 4, float, (glm::qualifier)0>&)
  0.00      5.57     0.00      838     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      5.57     0.00      588     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      5.57     0.00      516     0.00     0.00  glm::mat<4, 4, float, (glm::qualifier)0>::operator[](int) const
  0.00      5.57     0.00      485     0.00     0.00  Shader::set_normal_matrix(glm::mat<3, 3, float, (glm::qualifier)0>)
  0.00      5.57     0.00      485     0.00     0.00  Shader::set_model(glm::mat<4, 4, float, (glm::qualifier)0>)
  0.00      5.57     0.00      484     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::length()
  0.00      5.57     0.00      484     0.00     0.00  glm::mat<3, 3, float, (glm::qualifier)0>::operator[](int)
  0.00      5.57     0.00      484     0.00     0.00  float* glm::value_ptr<float, (glm::qualifier)0>(glm::mat<3, 3, float, (glm::qualifier)0>&)
  0.00      5.57     0.00      484     0.00     0.00  Shader::use()
  0.00      5.57     0.00      407     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec(float, float, float, float)
  0.00      5.57     0.00      392     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      5.57     0.00      327     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      5.57     0.00      294     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      5.57     0.00      265     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::length()
  0.00      5.57     0.00      261     0.00     0.00  glm::detail::compute_vec4_mul<float, (glm::qualifier)0, false>::call(glm::vec<4, float, (glm::qualifier)0> const&, glm::vec<4, float, (glm::qualifier)0> const&)
  0.00      5.57     0.00      243     0.00     0.00  Object::get_num_of_indices() const
  0.00      5.57     0.00      243     0.00     0.00  Sphere::get_num_of_vertices(int) const
  0.00      5.57     0.00      238     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.57     0.00      227     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::vec(float)
  0.00      5.57     0.00      227     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator*=<float>(float)
  0.00      5.57     0.00      227     0.00     0.00  glm::vec<4, float, (glm::qualifier)0> glm::operator*<float, (glm::qualifier)0>(glm::vec<4, float, (glm::qualifier)0> const&, float const&)
  0.00      5.57     0.00      219     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::length()
  0.00      5.57     0.00      219     0.00     0.00  glm::vec<3, float, (glm::qualifier)0>::operator[](int) const
  0.00      5.57     0.00      208     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>::operator[](int) const
  0.00      5.57     0.00      204     0.00     0.00  float* std::vector<float, std::allocator<float> >::_M_data_ptr<float>(float*) const
  0.00      5.57     0.00      201     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      5.57     0.00      196     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      5.57     0.00      196     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      5.57     0.00      196     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      5.57     0.00      196     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      5.57     0.00      196     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      5.57     0.00      196     0.00     0.00  std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&)
  0.00      5.57     0.00      196     0.00     0.00  std::vector<float, std::allocator<float> >::_S_do_relocate(float*, float*, float*, std::allocator<float>&, std::integral_constant<bool, true>)
  0.00      5.57     0.00      196     0.00     0.00  float* std::__relocate_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.00      5.57     0.00      196     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&)
  0.00      5.57     0.00      126     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      5.57     0.00      119     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      5.57     0.00      116     0.00     0.00  glm::vec<4, float, (glm::qualifier)0>& glm::vec<4, float, (glm::qualifier)0>::operator+=<float>(glm::vec<4, float, (glm::qualifier)0> const&)
